Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2024/25,21/12/2024,19:30,Nurnberg,Braunschweig,1,0,H,,,,,,12,9,1,3,0,1
2024/25,21/12/2024,12:00,Paderborn,Karlsruhe,1,2,A,,,,,,9,8,2,3,0,0
2024/25,21/12/2024,12:00,Preußen Münster,Ulm,0,0,D,,,,,,19,15,4,1,0,0
2024/25,22/12/2024,12:30,Hannover,Hertha,0,0,D,,,,,,5,14,3,4,1,1
2024/25,22/12/2024,12:30,Kaiserslautern,FC Koln,0,1,A,,,,,,8,10,2,3,0,0
2024/25,22/12/2024,12:30,Regensburg,Darmstadt,2,1,H,,,,,,15,9,5,2,0,0
2024/25,17/01/2025,17:30,Dusseldorf,Darmstadt,2,2,D,,,,,,19,9,4,1,0,0
2024/25,17/01/2025,17:30,Regensburg,Hannover,0,1,A,,,,,,18,16,1,1,0,0
2024/25,18/01/2025,12:00,Braunschweig,Schalke 04,0,0,D,,,,,,14,14,4,4,1,0
2024/25,18/01/2025,19:30,Hamburg,FC Koln,1,0,H,,,,,,14,16,3,4,0,0
2024/25,18/01/2025,12:00,Kaiserslautern,Ulm,2,1,H,,,,,,14,15,2,3,0,0
2024/25,18/01/2025,12:00,Preußen Münster,Greuther Furth,2,1,H,,,,,,16,7,3,5,0,1
2024/25,19/01/2025,12:30,Elversberg,Magdeburg,2,5,A,,,,,,11,12,2,2,1,0
2024/25,19/01/2025,12:30,Nurnberg,Karlsruhe,2,1,H,,,,,,8,12,3,5,0,0
2024/25,19/01/2025,12:30,Paderborn,Hertha,1,2,A,,,,,,14,7,1,4,0,0
2024/25,24/01/2025,17:30,Greuther Furth,Kaiserslautern,2,4,A,,,,,,10,13,1,5,1,1
2024/25,24/01/2025,17:30,Magdeburg,Braunschweig,1,1,D,,,,,,9,13,0,0,0,0
2024/25,25/01/2025,12:00,FC Koln,Elversberg,1,0,H,,,,,,14,14,1,6,0,1
2024/25,25/01/2025,19:30,Hertha,Hamburg,2,3,A,,,,,,10,10,1,4,0,0
2024/25,25/01/2025,12:00,Karlsruhe,Dusseldorf,2,3,A,,,,,,11,6,3,3,0,0
2024/25,25/01/2025,12:00,Schalke 04,Nurnberg,3,1,H,,,,,,3,6,0,0,0,0
2024/25,26/01/2025,12:30,Darmstadt,Paderborn,0,1,A,,,,,,11,17,2,6,0,0
2024/25,26/01/2025,12:30,Hannover,Preußen Münster,2,2,D,,,,,,9,5,4,1,0,0
2024/25,26/01/2025,12:30,Ulm,Regensburg,5,1,H,,,,,,10,17,0,0,0,0
2024/25,31/01/2025,17:30,Elversberg,Karlsruhe,2,2,D,,,,,,9,8,1,0,0,0
2024/25,31/01/2025,17:30,Nurnberg,Darmstadt,1,0,H,,,,,,11,8,3,1,0,0
2024/25,01/02/2025,12:00,Braunschweig,FC Koln,1,2,A,,,,,,11,8,4,2,0,0
2024/25,01/02/2025,12:00,Dusseldorf,Ulm,3,2,H,,,,,,14,10,4,4,0,0
2024/25,01/02/2025,12:00,Regensburg,Hertha,2,0,H,,,,,,16,13,0,0,0,0
2024/25,01/02/2025,19:30,Schalke 04,Magdeburg,2,5,A,,,,,,9,7,4,1,0,0
2024/25,02/02/2025,12:30,Hamburg,Hannover,2,2,D,,,,,,11,17,4,2,0,0
2024/25,02/02/2025,12:30,Kaiserslautern,Preußen Münster,2,1,H,,,,,,16,14,1,6,0,0
2024/25,02/02/2025,12:30,Paderborn,Greuther Furth,1,2,A,,,,,,12,12,3,2,1,0
2024/25,07/02/2025,17:30,Greuther Furth,Regensburg,2,1,H,,,,,,10,14,1,3,0,0
2024/25,07/02/2025,17:30,Preußen Münster,Hamburg,1,2,A,,,,,,7,14,3,2,0,0
2024/25,08/02/2025,12:00,Darmstadt,Elversberg,0,3,A,,,,,,13,14,2,3,1,0
2024/25,08/02/2025,19:30,Hertha,Kaiserslautern,0,1,A,,,,,,17,17,0,0,0,0
2024/25,08/02/2025,12:00,Magdeburg,Nurnberg,3,4,A,,,,,,12,9,1,3,0,0
2024/25,08/02/2025,12:00,Ulm,Paderborn,0,2,A,,,,,,6,20,1,4,1,0
2024/25,09/02/2025,12:30,FC Koln,Schalke 04,1,0,H,,,,,,14,6,3,0,0,0
2024/25,09/02/2025,12:30,Hannover,Dusseldorf,1,1,D,,,,,,10,14,1,3,0,0
2024/25,09/02/2025,12:30,Karlsruhe,Braunschweig,0,2,A,,,,,,13,14,0,0,0,0
2024/25,14/02/2025,17:30,Magdeburg,FC Koln,3,0,H,,,,,,7,11,0,2,0,0
2024/25,14/02/2025,17:30,Paderborn,Preußen Münster,2,0,H,,,,,,11,17,1,3,0,0
2024/25,15/02/2025,12:00,Braunschweig,Darmstadt,1,0,H,,,,,,12,17,3,7,0,1
2024/25,15/02/2025,19:30,Dusseldorf,Hertha,2,1,H,,,,,,9,10,1,0,0,0
2024/25,15/02/2025,12:00,Elversberg,Greuther Furth,2,0,H,,,,,,13,7,2,2,1,0
2024/25,15/02/2025,12:00,Kaiserslautern,Hannover,0,0,D,,,,,,10,16,2,2,0,0
2024/25,16/02/2025,12:30,Nurnberg,Ulm,2,0,H,,,,,,14,9,0,0,0,0
2024/25,16/02/2025,12:30,Regensburg,Hamburg,1,1,D,,,,,,19,15,1,5,0,1
2024/25,16/02/2025,12:30,Schalke 04,Karlsruhe,2,1,H,,,,,,11,8,1,1,0,0
2024/25,21/02/2025,17:30,Hamburg,Kaiserslautern,3,0,H,,,,,,11,7,1,1,0,0
2024/25,21/02/2025,17:30,Hertha,Nurnberg,0,0,D,,,,,,20,9,2,2,0,0
2024/25,22/02/2025,19:30,Hannover,Paderborn,1,1,D,,,,,,16,19,3,0,1,0
2024/25,22/02/2025,12:00,Karlsruhe,Magdeburg,3,1,H,,,,,,18,15,1,4,0,1
2024/25,22/02/2025,12:00,Preußen Münster,Regensburg,2,0,H,,,,,,20,11,6,3,0,0
2024/25,22/02/2025,12:00,Ulm,Elversberg,0,0,D,,,,,,13,11,4,3,0,0
2024/25,23/02/2025,12:30,Darmstadt,Schalke 04,2,0,H,,,,,,13,15,4,5,0,1
2024/25,23/02/2025,12:30,FC Koln,Dusseldorf,1,1,D,,,,,,13,7,2,4,0,0
2024/25,23/02/2025,12:30,Greuther Furth,Braunschweig,3,0,H,,,,,,5,10,4,3,0,0
2024/25,28/02/2025,17:30,Dusseldorf,Greuther Furth,1,2,A,,,,,,10,5,3,1,0,0
2024/25,28/02/2025,17:30,Schalke 04,Preußen Münster,1,0,H,,,,,,10,8,1,1,0,0
2024/25,01/03/2025,12:00,Braunschweig,Ulm,1,1,D,,,,,,18,14,2,4,0,0
2024/25,01/03/2025,12:00,Kaiserslautern,Regensburg,3,0,H,,,,,,11,15,1,4,0,0
